,outbreak_qid,outbreak,country_qid,country
45,Q87651920,2020 coronavirus pandemic in Oregon,Q30,United States of America
46,Q87651970,2020 coronavirus pandemic in Guinea,Q1006,Guinea
47,Q87651995,2020 coronavirus pandemic in Kazakhstan,Q232,Kazakhstan
48,Q87652000,2020 coronavirus pandemic in Pakistan,Q843,Pakistan
49,Q87652010,2020 coronavirus pandemic in Venezuela,Q717,Venezuela
50,Q87655119,2020 coronavirus pandemic in Kosovo,Q1246,Kosovo
51,Q87656001,2020 coronavirus pandemic in Wallis and Futuna,Q142,France
52,Q87656613,2020 coronavirus pandemic in Saint Pierre and Miquelon,Q142,France
53,Q87657486,2020 coronavirus pandemic in Sudan,Q1049,Sudan
54,Q87659698,2020 coronavirus pandemic in Guyana,Q734,Guyana
55,Q87660365,2020 coronavirus pandemic in Uruguay,Q77,Uruguay
56,Q87660693,2020 coronavirus pandemic in Puerto Rico,Q30,United States of America
57,Q87662819,2020 coronavirus pandemic in Togo,Q945,Togo
58,Q87662895,2020 coronavirus pandemic in the Maldives,Q826,Maldives
59,Q87663590,2020 coronavirus pandemic in New Jersey,Q30,United States of America
60,Q87664046,2020 coronavirus pandemic in Suriname,Q730,Suriname
61,Q87665038,2020 coronavirus pandemic in Ethiopia,Q115,Ethiopia
62,Q87665364,2020 coronavirus pandemic in Burkina Faso,Q965,Burkina Faso
63,Q87666042,2020 coronavirus pandemic in Gabon,Q1000,Gabon
64,Q87666247,2020 coronavirus pandemic in Ghana,Q117,Ghana
65,Q87669612,2020 coronavirus pandemic in Guatemala,Q774,Guatemala
66,Q87687648,2020 coronavirus pandemic in Saint Vincent and the Grenadines,Q757,Saint Vincent and the Grenadines
67,Q87694131,2020 coronavirus pandemic in Trinidad and Tobago,Q754,Trinidad and Tobago
68,Q87704267,2020 coronavirus pandemic in Ivory Coast,Q1008,Ivory Coast
69,Q87705884,2020 coronavirus pandemic in Kenya,Q114,Kenya
70,Q87706558,2020 coronavirus pandemic in the Democratic Republic of the Congo,Q974,Democratic Republic of the Congo
71,Q87707727,2020 coronavirus pandemic in Saint Lucia,Q760,Saint Lucia
72,Q87708331,2020 coronavirus pandemic in Antigua and Barbuda,Q781,Antigua and Barbuda
73,Q87708719,2020 coronavirus pandemic in Aruba,Q21203,Aruba
74,Q87708832,2020 coronavirus pandemic in Mongolia,Q711,Mongolia
75,Q87709760,2020 coronavirus pandemic in Curaçao,Q25279,Curaçao
76,Q87709900,2020 coronavirus pandemic in Mauritania,Q1025,Mauritania
77,Q87709973,2020 coronavirus pandemic in Eswatini,Q1050,Eswatini
78,Q87714704,2020 coronavirus pandemic in Rwanda,Q1037,Rwanda
79,Q87715166,2020 coronavirus pandemic in Bhutan,Q917,Bhutan
80,Q87715843,2020 coronavirus pandemic in Andorra,Q228,Andorra
81,Q87718451,2020 coronavirus pandemic in Nigeria,Q1033,Nigeria
82,Q87722485,2020 coronavirus pandemic in Azerbaijan,Q227,Azerbaijan
83,Q87729500,2020 coronavirus pandemic in Seychelles,Q1042,Seychelles
84,Q87729501,2020 coronavirus pandemic in Namibia,Q1030,Namibia
